date;time;id;devname;EAct imp(kWh);EAct exp(kWh);ERInd imp(kvarh);ERInd exp(kvarh);ERCap exp(kvarh);ERCap imp(kvarh);Q_EAct imp;Q_EAct exp;Q_ERInd imp;Q_ERInd exp;Q_ERCap exp;Q_ERCap imp;EAct imp(kWh);EAct exp(kWh);ERInd imp(kvarh);ERCap exp(kvarh);ERInd exp(kvarh);ERCap imp(kvarh);VAC1 (V);VAC2 (V);VAC3 (V);IAC1 (A);IAC2 (A);IAC3 (A);POW1 (W);POW2 (W);POW3 (W);POWact (W);POWrea (var);PF1;PF2;PF3
2018/01/01;11:30:00;27;Contador;139;0;36;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;11:45:00;27;Contador;127;0;35;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;12:00:00;27;Contador;127;0;34;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;12:15:00;27;Contador;131;0;37;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;12:30:00;27;Contador;138;0;35;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;12:45:00;27;Contador;129;0;31;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;13:00:00;27;Contador;131;0;31;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;13:15:00;27;Contador;127;0;31;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;13:30:00;27;Contador;132;0;34;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;13:45:00;27;Contador;144;0;38;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;14:00:00;27;Contador;140;0;29;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;14:15:00;27;Contador;138;0;33;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;14:30:00;27;Contador;129;0;27;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;14:45:00;27;Contador;132;0;28;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;15:00:00;27;Contador;133;0;32;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;15:15:00;27;Contador;137;0;28;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;15:30:00;27;Contador;130;0;29;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;15:45:00;27;Contador;129;0;32;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;16:00:00;27;Contador;132;0;31;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;16:15:00;27;Contador;124;0;30;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;16:30:00;27;Contador;136;0;35;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;16:45:00;27;Contador;138;0;31;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;17:00:00;27;Contador;130;0;31;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;17:15:00;27;Contador;131;0;33;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;17:30:00;27;Contador;126;0;34;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;17:45:00;27;Contador;133;0;39;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;18:00:00;27;Contador;161;0;55;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;18:15:00;27;Contador;173;0;52;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;18:30:00;27;Contador;167;0;46;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;18:45:00;27;Contador;166;0;46;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;19:00:00;27;Contador;165;0;46;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;19:15:00;27;Contador;168;0;50;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;19:30:00;27;Contador;174;0;53;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;19:45:00;27;Contador;177;0;53;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;20:00:00;27;Contador;165;0;45;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;20:15:00;27;Contador;162;0;45;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;20:30:00;27;Contador;161;0;49;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;20:45:00;27;Contador;161;0;50;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;21:00:00;27;Contador;159;0;48;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;21:15:00;27;Contador;152;0;44;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;21:30:00;27;Contador;147;0;42;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;21:45:00;27;Contador;145;0;43;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;22:00:00;27;Contador;143;0;37;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;22:15:00;27;Contador;138;0;33;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;22:30:00;27;Contador;136;0;29;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;22:45:00;27;Contador;136;0;29;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;23:00:00;27;Contador;131;0;24;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;23:15:00;27;Contador;129;0;19;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;23:30:00;27;Contador;126;0;18;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2018/01/01;23:45:00;27;Contador;126;0;18;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
